Country,ISO3,Total pairs,AR6 pairs,AR6 penetration rate (%),SSP (n),SSP (%),RCP (n),RCP (%),SRES (n),SRES (%),Custom (n),Custom (%)
China,CHN,2756,1944,70.54,751,38.63,706,36.32,234,12.04,253,13.01
United States,USA,1319,870,65.96,96,11.03,310,35.63,200,22.99,264,30.34
India,IND,474,353,74.47,81,22.95,159,45.04,52,14.73,61,17.28
Iran,IRN,385,278,72.21,59,21.22,120,43.17,78,28.06,21,7.55
Canada,CAN,378,254,67.2,31,12.2,109,42.91,54,21.26,60,23.62
Australia,AUS,339,193,56.93,21,10.88,68,35.23,34,17.62,70,36.27
Brazil,BRA,333,226,67.87,65,28.76,84,37.17,23,10.18,54,23.89
United Kingdom,GBR,296,177,59.8,10,5.65,30,16.95,46,25.99,91,51.41
South Korea,KOR,261,197,75.48,75,38.07,102,51.78,9,4.57,11,5.58
Spain,ESP,256,177,69.14,16,9.04,79,44.63,53,29.94,29,16.38
