Region,Aggregate code,Total pairs,AR6 pairs,AR6 penetration rate (%),SSP (n),SSP (%),RCP (n),RCP (%),SRES (n),SRES (%),Custom (n),Custom (%)
Global,GLOBAL,4148,3026,72.95,872,28.82,805,26.6,325,10.74,1024,33.84
Europe,EUR,1071,823,76.84,107,13.0,329,39.98,191,23.21,196,23.82
Africa,AFR,376,283,75.27,88,31.1,106,37.46,34,12.01,55,19.43
Asia,ASIA,219,171,78.08,60,35.09,54,31.58,17,9.94,40,23.39
North America,NAM,181,128,70.72,15,11.72,51,39.84,27,21.09,35,27.34
South America,SAM,109,83,76.15,20,24.1,28,33.73,22,26.51,13,15.66
Antarctica,ANT,66,54,81.82,23,42.59,16,29.63,4,7.41,11,20.37
Southeast Asia,SEA,45,37,82.22,23,62.16,10,27.03,0,0.0,4,10.81
Middle East,MEA,31,21,67.74,8,38.1,5,23.81,4,19.05,4,19.05
Central America,CAM,16,10,62.5,5,50.0,1,10.0,3,30.0,1,10.0
Arctic,ARC,129,94,72.87,25,26.6,37,39.36,14,14.89,18,19.15
Pacific,PAC,110,81,73.64,15,18.52,39,48.15,13,16.05,14,17.28
Caribbean,CAR,17,10,58.82,0,0.0,4,40.0,2,20.0,4,40.0
Other / mixed,OTHER,1998,1300,65.07,284,21.85,507,39.0,212,16.31,297,22.85
