family,ar6_cat,var_group,count
Custom,C1,Cryosphere & sea level,3
Custom,C1,Ecology & vegetation,8
Custom,C1,Emissions & carbon,33
Custom,C1,Food & agriculture,8
Custom,C1,Hazards & extremes,4
Custom,C1,Human systems,17
Custom,C1,"Land, air & ocean",4
Custom,C1,Other,21
Custom,C1,Precipitation,4
Custom,C1,Temperature & heat,16
Custom,C1,Water & hydrology,7
Custom,C2,Ecology & vegetation,3
Custom,C2,Emissions & carbon,16
Custom,C2,Food & agriculture,2
Custom,C2,Hazards & extremes,3
Custom,C2,Human systems,4
Custom,C2,"Land, air & ocean",1
Custom,C2,Other,11
Custom,C2,Precipitation,4
Custom,C2,Temperature & heat,7
Custom,C2,Water & hydrology,7
Custom,C3,Cryosphere & sea level,5
Custom,C3,Ecology & vegetation,28
Custom,C3,Emissions & carbon,84
Custom,C3,Food & agriculture,35
Custom,C3,Hazards & extremes,14
Custom,C3,Human systems,39
Custom,C3,"Land, air & ocean",16
Custom,C3,Other,84
Custom,C3,Precipitation,28
Custom,C3,Temperature & heat,75
Custom,C3,Water & hydrology,38
Custom,C4,Cryosphere & sea level,5
Custom,C4,Ecology & vegetation,35
Custom,C4,Emissions & carbon,84
Custom,C4,Food & agriculture,27
Custom,C4,Hazards & extremes,8
Custom,C4,Human systems,46
Custom,C4,"Land, air & ocean",9
Custom,C4,Other,64
Custom,C4,Precipitation,16
Custom,C4,Temperature & heat,49
Custom,C4,Water & hydrology,44
Custom,C5,Cryosphere & sea level,26
Custom,C5,Ecology & vegetation,112
Custom,C5,Emissions & carbon,184
Custom,C5,Food & agriculture,90
Custom,C5,Hazards & extremes,45
Custom,C5,Human systems,110
Custom,C5,"Land, air & ocean",84
Custom,C5,Other,238
Custom,C5,Precipitation,56
Custom,C5,Temperature & heat,154
Custom,C5,Water & hydrology,170
Custom,C6,Cryosphere & sea level,7
Custom,C6,Ecology & vegetation,23
Custom,C6,Emissions & carbon,16
Custom,C6,Food & agriculture,17
Custom,C6,Hazards & extremes,20
Custom,C6,Human systems,16
Custom,C6,"Land, air & ocean",14
Custom,C6,Other,53
Custom,C6,Precipitation,4
Custom,C6,Temperature & heat,45
Custom,C6,Water & hydrology,21
Custom,C7,Cryosphere & sea level,9
Custom,C7,Ecology & vegetation,39
Custom,C7,Emissions & carbon,89
Custom,C7,Food & agriculture,27
Custom,C7,Hazards & extremes,7
Custom,C7,Human systems,55
Custom,C7,"Land, air & ocean",22
Custom,C7,Other,63
Custom,C7,Precipitation,4
Custom,C7,Temperature & heat,42
Custom,C7,Water & hydrology,54
Custom,C8,Cryosphere & sea level,5
Custom,C8,Ecology & vegetation,29
Custom,C8,Emissions & carbon,39
Custom,C8,Food & agriculture,21
Custom,C8,Hazards & extremes,10
Custom,C8,Human systems,30
Custom,C8,"Land, air & ocean",14
Custom,C8,Other,64
Custom,C8,Precipitation,7
Custom,C8,Temperature & heat,27
Custom,C8,Water & hydrology,40
RCP,C1,Cryosphere & sea level,15
RCP,C1,Ecology & vegetation,105
RCP,C1,Emissions & carbon,24
RCP,C1,Food & agriculture,38
RCP,C1,Hazards & extremes,29
RCP,C1,Human systems,31
RCP,C1,"Land, air & ocean",10
RCP,C1,Other,67
RCP,C1,Precipitation,22
RCP,C1,Temperature & heat,63
RCP,C1,Water & hydrology,69
RCP,C2,Cryosphere & sea level,4
RCP,C2,Ecology & vegetation,31
RCP,C2,Emissions & carbon,3
RCP,C2,Food & agriculture,14
RCP,C2,Hazards & extremes,4
RCP,C2,Human systems,3
RCP,C2,"Land, air & ocean",3
RCP,C2,Other,10
RCP,C2,Precipitation,9
RCP,C2,Temperature & heat,16
RCP,C2,Water & hydrology,20
RCP,C3,Cryosphere & sea level,19
RCP,C3,Ecology & vegetation,142
RCP,C3,Emissions & carbon,36
RCP,C3,Food & agriculture,75
RCP,C3,Hazards & extremes,42
RCP,C3,Human systems,65
RCP,C3,"Land, air & ocean",31
RCP,C3,Other,166
RCP,C3,Precipitation,59
RCP,C3,Temperature & heat,100
RCP,C3,Water & hydrology,161
RCP,C4,Cryosphere & sea level,10
RCP,C4,Ecology & vegetation,51
RCP,C4,Emissions & carbon,9
RCP,C4,Food & agriculture,20
RCP,C4,Hazards & extremes,14
RCP,C4,Human systems,11
RCP,C4,"Land, air & ocean",8
RCP,C4,Other,35
RCP,C4,Precipitation,19
RCP,C4,Temperature & heat,39
RCP,C4,Water & hydrology,47
RCP,C5,Cryosphere & sea level,18
RCP,C5,Ecology & vegetation,134
RCP,C5,Emissions & carbon,28
RCP,C5,Food & agriculture,65
RCP,C5,Hazards & extremes,67
RCP,C5,Human systems,58
RCP,C5,"Land, air & ocean",46
RCP,C5,Other,151
RCP,C5,Precipitation,66
RCP,C5,Temperature & heat,108
