ISO3,Economy,Dated pairs,Research median,Official target,Target status,Unique files,Pair-weighted median,Equal-file median,Deduplicated paper-scenario-year median
IND,India,51,2070.0,2070,In policy document,46,2070.0,2070.0,2070.0
CHN,China,499,2070.0,2060,In policy document,445,2070.0,2070.0,2070.0
AUS,Australia,21,2070.0,2050,In law,19,2070.0,2070.0,2070.0
BRA,Brazil,34,2070.0,2050,In policy document,30,2070.0,2070.0,2070.0
CAN,Canada,40,2070.0,2050,In law,36,2070.0,2070.0,2070.0
ESP,Spain,18,2070.0,2050,In law,17,2070.0,2070.0,2070.0
ETH,Ethiopia,33,2070.0,2050,In policy document,29,2070.0,2070.0,2070.0
GBR,United Kingdom,20,2070.0,2050,In law,18,2070.0,2070.0,2070.0
JPN,Japan,18,2070.0,2050,In policy document,18,2070.0,2070.0,2070.0
KOR,South Korea,37,2070.0,2050,In law,32,2070.0,2070.0,2070.0
DEU,Germany,28,2070.0,2045,In law,27,2070.0,2070.0,2070.0
