First-online year,Valid pairs (all),Classified pairs,Classifiable share (%),Unique files,C1 (%),C2 (%),C3-C6 (%),C7 (%),C8 (%)
2000,72,31,43.05555555555556,18,0.0,0.0,77.41935483870968,19.35483870967742,3.225806451612903
2001,39,23,58.97435897435897,19,0.0,0.0,95.65217391304348,4.3478260869565215,0.0
2002,73,41,56.16438356164384,27,2.4390243902439024,0.0,90.2439024390244,4.878048780487805,2.4390243902439024
2003,64,41,64.0625,29,0.0,4.878048780487805,82.92682926829268,7.317073170731707,4.878048780487805
2004,0,0,,0,,,,,
2005,135,100,74.07407407407408,53,1.0,0.0,81.0,13.0,5.0
2006,130,76,58.46153846153846,52,0.0,1.3157894736842104,82.89473684210526,13.157894736842104,2.631578947368421
2007,156,114,73.07692307692308,76,2.631578947368421,0.0,83.33333333333334,8.771929824561402,5.263157894736842
2008,164,116,70.73170731707317,83,1.7241379310344827,3.4482758620689653,79.3103448275862,13.793103448275861,1.7241379310344827
2009,263,177,67.30038022813689,125,0.5649717514124294,1.694915254237288,83.05084745762711,9.6045197740113,5.084745762711865
2010,296,200,67.56756756756756,133,2.0,0.5,83.0,9.5,5.0
2011,388,259,66.75257731958763,165,1.1583011583011582,0.7722007722007722,88.8030888030888,6.177606177606178,3.088803088803089
2012,520,366,70.38461538461539,229,2.459016393442623,0.273224043715847,83.60655737704919,9.836065573770492,3.825136612021858
2013,646,449,69.50464396284829,292,3.5634743875278394,0.8908685968819599,77.28285077951003,8.463251670378618,9.799554565701559
2014,676,448,66.27218934911242,294,2.6785714285714284,0.8928571428571428,74.10714285714286,7.8125,14.508928571428573
2015,823,545,66.22114216281895,365,2.9357798165137616,1.651376146788991,69.35779816513762,9.174311926605505,16.88073394495413
2016,985,621,63.045685279187815,386,4.508856682769726,1.932367149758454,61.03059581320451,9.339774557165862,23.18840579710145
2017,1019,623,61.13837095191364,399,7.223113964686998,2.086677367576244,60.67415730337079,6.741573033707865,23.274478330658106
2018,1176,809,68.79251700680273,503,7.663782447466007,2.3485784919653896,58.0964153275649,5.562422744128554,26.328800988875155
2019,1362,894,65.63876651982379,554,6.0402684563758395,2.1252796420581657,55.59284116331096,7.718120805369128,28.523489932885905
2020,1479,990,66.93711967545639,613,8.282828282828284,3.0303030303030303,52.82828282828282,6.565656565656567,29.292929292929294
2021,1595,1130,70.84639498432603,656,10.707964601769913,1.8584070796460177,51.06194690265487,6.371681415929204,30.0
2022,1508,1028,68.16976127320955,605,11.575875486381323,2.7237354085603114,47.276264591439684,7.976653696498054,30.44747081712062
2023,1707,1224,71.70474516695958,705,11.11111111111111,2.287581699346405,44.28104575163398,9.803921568627452,32.51633986928105
2024,1956,1453,74.2842535787321,792,14.728148657949072,3.4411562284927735,39.71094287680661,10.323468685478321,31.79628355127323
2025,2098,1643,78.31267874165873,886,13.572732805842971,2.8606208155812536,41.20511259890444,10.590383444917833,31.7711503347535
