Expert chapter (EN),Expert chapter (ZH),count
Ecosystems (WGII),生态系统与生物多样性专家,7505
Hydro & Cryosphere (WGI),水循环与冰冻圈专家,3770
GCM & Projections (WGI),全球气候模型与预测专家,2296
Food/Water/Health (WGII),食品、水与健康安全专家,2145
Carbon Cycle (WGI),碳循环与生物地球化学专家,842
Urban & Infra (WGII),城市、住区与基础设施专家,803
Regional Risk (WGII),区域风险与决策评估专家,790
Policy & Finance (WGIII),政策、金融与国际合作专家,471
AFOLU (WGIII),土地利用与AFOLU专家,330
Energy Transition (WGIII),能源系统转型专家,259
Obs. & Attribution (WGI),气候观测与历史归因专家,120
Industry & Transport (WGIII),城市、工业与交通减排专家,114
Poverty & Livelihoods (WGII),贫困、生计与可持续发展专家,36
