Study Location,count
Global,3684
China,910
Europe,415
United States,187
India,127
South Korea,122
North America,109
Africa,107
Australia,93
Brazil,92
UK,86
California,83
Tibetan Plateau,75
Switzerland,69
Finland,69
Canada,68
Sweden,64
France,63
Arctic,63
Japan,62
Germany,62
Northern Hemisphere,56
Iran,52
East Asia,50
West Africa,50
Netherlands,50
Ethiopia,48
Greece,45
Spain,42
North Atlantic,42
Iberian Peninsula,41
South America,40
Mexico,39
North China Plain,38
Northeast China,36
Austria,36
Italy,36
South Asia,34
Korea,34
Turkey,33
