family,var_norm,count
Custom/Regional,co2 emissions,135
Custom/Regional,ghg emissions,105
RCP,streamflow,91
SSP,suitable habitat area,77
RCP,suitable habitat area,71
Custom/Regional,water yield,51
Custom/Regional,streamflow,50
RCP,temperature increase,48
SSP,total suitable habitat area,48
Custom/Regional,runoff,45
Custom/Regional,global mean temperature change,41
RCP,habitat suitability,40
SRES,temperature increase,39
RCP,maize yield,33
SSP,total suitable area,32
RCP,mean temperature increase,31
RCP,habitat suitability area,30
RCP,precipitation change,30
RCP,temperature change,30
RCP,runoff,29
SSP,runoff,29
Custom/Regional,carbon emissions,29
Custom/Regional,precipitation,29
RCP,area of suitable habitat,28
RCP,rice yield,28
Custom/Regional,annual runoff,28
Custom/Regional,ghg emissions reduction,28
RCP,hydropower generation,27
SRES,annual runoff,27
Custom/Regional,surface runoff,27
SSP,potential distribution area,26
RCP,drought frequency,25
RCP,water yield,25
SSP,area of suitable habitat,25
RCP,annual runoff,24
SSP,streamflow,24
RCP,net primary productivity (npp),24
Custom/Regional,temperature change,24
Custom/Regional,npp,23
Custom/Regional,gdp,23
RCP,maximum temperature increase,23
RCP,mean annual streamflow,22
Custom/Regional,climate change impact,22
RCP,crop yield,22
SSP,annual precipitation,21
RCP,wheat yield,21
SSP,temperature increase,20
RCP,grain yield,20
RCP,potential distribution area,20
Custom/Regional,mean annual runoff,20
SRES,runoff,19
RCP,species richness,19
Custom/Regional,carbon storage,19
RCP,groundwater recharge,19
Custom/Regional,biomass,18
SRES,precipitation,18
SSP,precipitation,18
Custom/Regional,amoc strength,18
Custom/Regional,surface air temperature,18
SRES,temperature change,18
Custom/Regional,global mean temperature increase,18
RCP,mean temperature change,17
SSP,habitat suitability area,17
RCP,mean annual runoff,17
Custom/Regional,precipitation change,17
RCP,total runoff,17
RCP,precipitation,17
Custom/Regional,co2 emissions reduction,17
RCP,annual streamflow,16
SRES,wheat yield,16
Custom/Regional,crop yield,16
Custom/Regional,greenhouse gas emissions,16
Custom/Regional,global mean temperature,16
RCP,flooded area,16
SSP,habitat area,16
RCP,annual precipitation,15
RCP,mean annual temperature,15
Custom/Regional,radiative forcing,15
Custom/Regional,wheat yield,15
Custom/Regional,expected annual damage (ead),15
Custom/Regional,carbon sequestration,15
RCP,global mean temperature increase,14
SRES,streamflow,14
Custom/Regional,global temperature increase,14
Custom/Regional,species richness,14
Custom/Regional,global mean surface temperature,14
SSP,potential suitable habitat area,14
Custom/Regional,temperature increase,14
RCP,total suitable area,14
SSP,habitat suitability,14
RCP,mean annual temperature increase,14
Custom/Regional,grain yield,14
RCP,rainfall intensity,14
SSP,mean annual temperature,13
SSP,global mean surface temperature,13
Custom/Regional,groundwater recharge,13
RCP,maximum temperature,13
SRES,groundwater recharge,13
Custom/Regional,global mean surface temperature change,13
Custom/Regional,net primary productivity (npp),13
RCP,average annual temperature increase,13
Custom/Regional,surface temperature,13
SRES,reservoir inflow,12
SRES,mean temperature change,12
Custom/Regional,maize yield,12
SSP,co2 emissions,12
SRES,atmospheric co2 concentration,12
Custom/Regional,surface temperature change,12
Custom/Regional,air temperature,12
SSP,highly suitable habitat area,12
SSP,maize yield,11
RCP,corn yield,11
Custom/Regional,groundwater level,11
Custom/Regional,surface air temperature (sat),11
