Year_int,Custom/Regional,RCP,SRES,SSP
2000.0,68,0,4,0
2001.0,36,0,3,0
2002.0,64,0,9,0
2003.0,55,0,9,0
2005.0,83,0,52,0
2006.0,87,0,43,0
2007.0,84,0,72,0
2008.0,89,0,75,0
2009.0,144,0,119,0
2010.0,158,4,134,0
2011.0,208,7,172,1
2012.0,236,32,252,0
2013.0,293,100,246,7
2014.0,342,112,215,7
2015.0,370,220,230,3
2016.0,433,398,146,8
2017.0,457,427,103,30
2018.0,487,572,81,36
2019.0,548,691,80,43
2020.0,501,837,54,87
2021.0,519,799,30,247
2022.0,460,672,24,352
2023.0,532,618,26,531
2024.0,545,490,11,907
2025.0,497,404,10,1161
2026.0,15,12,0,14
