Study Location,count
GLOBAL,4148
CHN,2756
OTHER,1998
USA,1319
EUR,1071
IND,474
IRN,385
CAN,378
AFR,376
AUS,339
BRA,333
GBR,296
KOR,261
ESP,256
DEU,228
ASIA,219
ETH,203
ITA,187
NAM,181
SWE,146
ARC,129
PAK,129
TUR,124
FRA,121
CHE,116
MEX,113
PRT,111
PAC,110
GRC,110
SAM,109
FIN,103
NLD,94
JPN,92
VNM,82
IDN,82
AUT,73
THA,70
TWN,67
ANT,66
ZAF,64
POL,58
BGD,58
MYS,58
NOR,56
KEN,52
NZL,50
CHL,50
IRL,49
RUS,48
TUN,47
NPL,46
EGY,45
SEA,45
BEL,44
DNK,42
HUN,42
COL,40
PHL,36
ECU,36
ARG,36
CZE,35
IRQ,33
MEA,31
GRL,31
GHA,29
SAU,28
TZA,28
DZA,25
JOR,25
MAR,24
PER,22
LKA,22
NER,20
KAZ,20
CYP,19
CRI,19
UKR,18
CAR,17
COD,17
CAM,16
LTU,16
UGA,16
BEN,16
SRB,16
MMR,15
BOL,15
NGA,15
AFG,14
MOZ,14
OMN,14
KGZ,13
BFA,13
SEN,13
MDG,12
ROU,12
LBN,11
LVA,11
KHM,11
PRI,10
MWI,10
GEO,10
CMR,10
UZB,9
ZMB,9
QAT,9
PRY,9
KWT,9
PRK,8
BGR,8
ARE,8
YEM,8
SVK,8
BHR,7
ISL,7
MNG,7
PSX,7
SVN,7
TJK,6
PNG,6
ISR,6
MNE,6
SGP,6
SYR,5
ZWE,5
BWA,5
TKM,5
EST,5
RWA,5
HND,5
GTM,4
ARM,4
LSO,4
VUT,3
HRV,3
TCD,3
BTN,3
CUB,3
SLV,3
BDI,3
CIV,2
CAF,2
ALB,2
AZE,2
TGO,2
LUX,2
MLI,2
SUR,2
MLT,2
KOS,2
BRN,2
BIH,2
LAO,2
SDN,2
GMB,2
BHS,1
FLK,1
PAN,1
MRT,1
AGO,1
NIC,1
SWZ,1
DOM,1
GNB,1
NCL,1
URY,1
