Expert chapter (EN),Expert chapter (ZH),n,pass_rate
GCM & Projections (WGI),全球气候模型与预测专家,2567,0.884690299961044
Regional Risk (WGII),区域风险与决策评估专家,894,0.8635346756152126
AFOLU (WGIII),土地利用与AFOLU专家,354,0.9322033898305084
Urban & Infra (WGII),城市、住区与基础设施专家,939,0.845580404685836
Industry & Transport (WGIII),城市、工业与交通减排专家,125,0.912
Policy & Finance (WGIII),政策、金融与国际合作专家,575,0.808695652173913
Obs. & Attribution (WGI),气候观测与历史归因专家,160,0.75
Hydro & Cryosphere (WGI),水循环与冰冻圈专家,4163,0.8995916406437665
Ecosystems (WGII),生态系统与生物多样性专家,8932,0.8349753694581281
Carbon Cycle (WGI),碳循环与生物地球化学专家,956,0.8744769874476988
Energy Transition (WGIII),能源系统转型专家,266,0.9586466165413534
Poverty & Livelihoods (WGII),贫困、生计与可持续发展专家,52,0.6730769230769231
Food/Water/Health (WGII),食品、水与健康安全专家,2462,0.8688058489033307
