Year_int,A1B,A2,B1,RCP 4.5,RCP 8.5,RCP2.6,RCP4.5,RCP6.0,RCP8.5,SRES A2,SSP1-2.6,SSP2-4.5,SSP3-7.0,SSP5-8.5,SSP585
2000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2002.0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2003.0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
2005.0,5,13,7,0,0,0,0,0,0,4,0,0,0,0,0
2006.0,3,10,1,0,0,0,0,0,0,9,0,0,0,0,0
2007.0,4,12,6,0,0,0,0,0,0,13,0,0,0,0,0
2008.0,5,15,3,0,0,0,0,0,0,8,0,0,0,0,0
2009.0,15,27,9,0,0,0,0,0,0,13,0,0,0,0,0
2010.0,25,22,13,0,0,1,2,0,0,17,0,0,0,0,0
2011.0,27,27,15,0,0,2,1,0,2,18,0,1,0,0,0
2012.0,52,41,25,1,0,7,9,0,10,17,0,0,0,0,0
2013.0,46,43,23,0,4,12,32,6,41,28,0,1,0,1,0
2014.0,49,36,15,1,1,11,27,6,57,16,2,0,0,1,0
2015.0,60,36,20,6,6,21,62,10,83,12,0,0,0,0,0
2016.0,25,30,9,15,17,50,105,17,138,8,0,0,0,0,0
2017.0,24,20,9,8,15,59,117,10,163,4,0,0,0,3,0
2018.0,19,15,8,14,18,77,151,15,223,5,0,1,0,3,0
2019.0,16,17,8,23,37,67,193,16,255,6,1,0,1,5,0
2020.0,9,11,6,36,55,88,194,23,295,1,4,5,3,10,1
2021.0,4,7,2,44,49,96,199,26,292,3,20,29,11,52,11
2022.0,4,8,2,44,61,81,155,14,260,0,40,48,27,78,39
2023.0,6,6,4,44,57,59,141,16,212,2,68,70,32,140,43
2024.0,2,2,1,36,53,59,98,13,169,0,107,132,62,199,82
2025.0,1,1,0,32,41,42,94,7,129,0,154,170,89,253,113
2026.0,0,0,0,2,1,2,2,0,3,0,2,3,2,5,0
