ISO3,Economy,Pledged year,By pledge year (%),Up to 20 years late (%),More than 20 years late (%),Never (%),Custom pairs
CHN,China,2060,59.1,36.4,2.3,2.3,44
GBR,UK,2050,12.5,37.5,50.0,0.0,8
AUS,Australia,2050,28.6,42.9,28.6,0.0,7
IND,India,2070,85.7,14.3,0.0,0.0,7
MEX,Mexico,2050,33.3,16.7,50.0,0.0,6
NLD,Netherlands,2050,0.0,0.0,100.0,0.0,6
CAN,Canada,2050,20.0,20.0,20.0,40.0,5
DEU,Germany,2045,0.0,40.0,60.0,0.0,5
ESP,Spain,2050,25.0,0.0,50.0,25.0,4
SWE,Sweden,2045,25.0,50.0,25.0,0.0,4
AUT,Austria,2040,33.3,66.7,0.0,0.0,3
BRA,Brazil,2050,0.0,0.0,66.7,33.3,3
CHE,Switzerland,2050,33.3,33.3,33.3,0.0,3
FIN,Finland,2035,0.0,0.0,100.0,0.0,3
ITA,Italy,2050,33.3,33.3,0.0,33.3,3
KOR,S.Korea,2050,66.7,0.0,0.0,33.3,3
POL,Poland,2050,33.3,0.0,66.7,0.0,3
CZE,Czechia,2050,50.0,50.0,0.0,0.0,2
ETH,Ethiopia,2050,0.0,100.0,0.0,0.0,2
GRC,Greece,2050,0.0,50.0,50.0,0.0,2
KAZ,Kazakhstan,2060,50.0,0.0,50.0,0.0,2
NZL,New Zealand,2050,0.0,100.0,0.0,0.0,2
PRT,Portugal,2050,0.0,50.0,0.0,50.0,2
ARG,Argentina,2050,0.0,100.0,0.0,0.0,1
DNK,Denmark,2045,0.0,0.0,100.0,0.0,1
FRA,France,2050,0.0,100.0,0.0,0.0,1
IRL,Ireland,2050,0.0,0.0,0.0,100.0,1
ISR,Israel,2050,0.0,100.0,0.0,0.0,1
LVA,Latvia,2050,100.0,0.0,0.0,0.0,1
NOR,Norway,2050,0.0,0.0,100.0,0.0,1
NPL,Nepal,2045,0.0,0.0,100.0,0.0,1
TUR,Türkiye,2053,100.0,0.0,0.0,0.0,1
VNM,Vietnam,2050,0.0,0.0,100.0,0.0,1
